"Event","Tag","Ticks"
0,DEPTHWISE_CONV_2D,9311
1,DEPTHWISE_CONV_2D,9025
2,CONV_2D,13691
3,DEPTHWISE_CONV_2D,4661
4,CONV_2D,9329
5,DEPTHWISE_CONV_2D,9593
6,CONV_2D,14619
7,DEPTHWISE_CONV_2D,2505
8,CONV_2D,8658
9,DEPTHWISE_CONV_2D,4473
10,CONV_2D,12811
11,DEPTHWISE_CONV_2D,1149
12,CONV_2D,6627
13,DEPTHWISE_CONV_2D,3113
14,CONV_2D,14231
15,DEPTHWISE_CONV_2D,2535
16,CONV_2D,14344
17,DEPTHWISE_CONV_2D,2178
18,CONV_2D,13543
19,DEPTHWISE_CONV_2D,2051
20,CONV_2D,13555
21,DEPTHWISE_CONV_2D,2051
22,CONV_2D,13672
23,DEPTHWISE_CONV_2D,727
24,CONV_2D,8353
25,DEPTHWISE_CONV_2D,1134
26,CONV_2D,11876
27,AVERAGE_POOL_2D,50
28,CONV_2D,15
29,RESHAPE,1
30,SOFTMAX,10
