"padding_type", "padding_width", "padding_height", "padding_width_offset", "padding_height_offset", "stride_width", "stride_height", "dilation_width_factor", "dilation_height_factor", "input_offset", "weights_offset", "output_offset", "output_multiplier", "output_shift", "quantized_activation_min", "quantized_activation_max", "input_batches", "input_height", "input_width", "input_depth", "filter_output_depth", "filter_height", "filter_width", "filter_input_depth", "output_batches", "output_height", "output_width", "output_depth",
.kSame, 0, 0, 0, 1, 2, 2, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 96, 96, 3, 8, 3, 3, 3, 1, 48, 48, 8,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 48, 48, 8, 16, 1, 1, 8, 1, 48, 48, 16,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 24, 24, 16, 32, 1, 1, 16, 1, 24, 24, 32,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 24, 24, 32, 32, 1, 1, 32, 1, 24, 24, 32,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 12, 12, 32, 64, 1, 1, 32, 1, 12, 12, 64,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 12, 12, 64, 64, 1, 1, 64, 1, 12, 12, 64,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 64, 128, 1, 1, 64, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 128, 128, 1, 1, 128, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 128, 128, 1, 1, 128, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 128, 128, 1, 1, 128, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 128, 128, 1, 1, 128, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 6, 6, 128, 128, 1, 1, 128, 1, 6, 6, 128,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 3, 3, 128, 256, 1, 1, 128, 1, 3, 3, 256,
..kSame, 0, 0, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 3, 3, 256, 256, 1, 1, 256, 1, 3, 3, 256,
