"Event","Tag","Ticks"
0,CONV_2D,19161
1,DEPTHWISE_CONV_2D,9045
2,CONV_2D,13364
3,DEPTHWISE_CONV_2D,4661
4,CONV_2D,9311
5,DEPTHWISE_CONV_2D,13996
6,CONV_2D,15690
7,DEPTHWISE_CONV_2D,2566
8,CONV_2D,7561
9,DEPTHWISE_CONV_2D,4938
10,CONV_2D,14384
11,DEPTHWISE_CONV_2D,1179
12,CONV_2D,6528
13,DEPTHWISE_CONV_2D,2178
14,CONV_2D,13021
15,DEPTHWISE_CONV_2D,2622
16,CONV_2D,13374
17,DEPTHWISE_CONV_2D,2590
18,CONV_2D,13151
19,DEPTHWISE_CONV_2D,2306
20,CONV_2D,12675
21,DEPTHWISE_CONV_2D,2328
22,CONV_2D,12703
23,DEPTHWISE_CONV_2D,559
24,CONV_2D,6232
25,DEPTHWISE_CONV_2D,1005
26,CONV_2D,13769
27,AVERAGE_POOL_2D,50
28,RESHAPE,4
29,FULLY_CONNECTED,11
30,SOFTMAX,10
