id,operation,ticks,cycles,ms,std,end_to_end_cycles,end_to_end_ms
0,DEPTHWISE_CONV_2D,8635,8842581,176.852,6.18,,
1,DEPTHWISE_CONV_2D,9043,9259691,185.194,1.89,,
2,CONV_2D,10177,10420907,208.418,1.25,,
3,DEPTHWISE_CONV_2D,4661,4772864,95.457,0.82,,
4,CONV_2D,5374,5502976,110.06,4.32,,
5,DEPTHWISE_CONV_2D,12837,13145429,262.909,2.49,,
6,CONV_2D,6639,6797995,135.96,8.01,,
7,DEPTHWISE_CONV_2D,2758,2824533,56.491,0.47,,
8,CONV_2D,3352,3432789,68.656,8.96,,
9,DEPTHWISE_CONV_2D,4820,4936021,98.72,0.47,,
10,CONV_2D,4269,4371456,87.429,2.45,,
11,DEPTHWISE_CONV_2D,1151,1178965,23.579,0.47,,
12,CONV_2D,2317,2372608,47.452,4.24,,
13,DEPTHWISE_CONV_2D,2213,2265771,45.315,0.47,,
14,CONV_2D,3763,3853312,77.066,2.16,,
15,DEPTHWISE_CONV_2D,2355,2411520,48.23,0.82,,
16,CONV_2D,4045,4142421,82.848,2.05,,
17,DEPTHWISE_CONV_2D,3164,3239936,64.799,1.63,,
18,CONV_2D,3703,3791531,75.831,0.94,,
19,DEPTHWISE_CONV_2D,2139,2190677,43.814,0.47,,
20,CONV_2D,3746,3835904,76.718,1.63,,
21,DEPTHWISE_CONV_2D,2091,2140843,42.817,0.47,,
22,CONV_2D,3754,3844096,76.882,1.41,,
23,DEPTHWISE_CONV_2D,567,580608,11.612,0.0,,
24,CONV_2D,2070,2120021,42.4,0.94,,
25,DEPTHWISE_CONV_2D,967,990208,19.804,0.82,,
26,CONV_2D,3140,3215701,64.314,2.62,,
27,AVERAGE_POOL_2D,51,52565,1.051,0.47,,
28,CONV_2D,8,8192,0.164,0.0,,
29,RESHAPE,2,2048,0.041,0.0,,
30,SOFTMAX,12,12288,0.246,0.82,,
