id,operation,ticks,cycles,std,ticks_list,end_to_end_cycles,end_to_end_ms
0,CONV_2D,17786,18212864,7.6,"[17787, 17777, 17790, 17777, 17799, 17774, 17787, 17795, 17786, 17788]",,
1,CONV_2D,22352,22888653,4.58,"[22351, 22347, 22356, 22350, 22359, 22344, 22353, 22349, 22356, 22357]",,
2,CONV_2D,20654,21149184,3.72,"[20653, 20650, 20655, 20650, 20652, 20654, 20656, 20647, 20659, 20659]",,
3,ADD,3875,3968410,7.81,"[3875, 3872, 3875, 3869, 3875, 3866, 3879, 3866, 3885, 3892]",,
4,CONV_2D,11148,11415245,1.73,"[11146, 11148, 11147, 11150, 11147, 11146, 11148, 11145, 11150, 11150]",,
5,CONV_2D,16613,17012122,2.94,"[16616, 16609, 16611, 16617, 16613, 16614, 16614, 16609, 16618, 16613]",,
6,CONV_2D,2380,2437427,1.27,"[2380, 2381, 2378, 2380, 2381, 2381, 2382, 2378, 2381, 2381]",,
7,ADD,1988,2036019,4.45,"[1989, 1985, 1983, 1992, 1989, 1990, 1991, 1979, 1995, 1990]",,
8,CONV_2D,9497,9724621,2.57,"[9496, 9498, 9496, 9498, 9496, 9496, 9493, 9493, 9499, 9502]",,
9,CONV_2D,14960,15319040,2.86,"[14960, 14958, 14964, 14964, 14963, 14959, 14961, 14959, 14957, 14955]",,
10,CONV_2D,1795,1838490,1.2,"[1796, 1795, 1796, 1795, 1793, 1798, 1795, 1795, 1795, 1796]",,
11,ADD,474,485376,3.35,"[474, 471, 478, 479, 478, 476, 470, 471, 473, 470]",,
12,AVERAGE_POOL_2D,42,42906,0.54,"[43, 42, 41, 41, 42, 42, 42, 42, 42, 42]",,
13,RESHAPE,3,2867,0.4,"[3, 3, 2, 2, 3, 3, 3, 3, 3, 3]",,
14,FULLY_CONNECTED,14,14131,0.4,"[13, 14, 13, 14, 14, 14, 14, 14, 14, 14]",,
15,SOFTMAX,25,26010,4.2,"[30, 18, 28, 28, 28, 28, 22, 28, 18, 26]",,
,TOTAL_LAYERS,,126573365,,,,
,END_TO_END,,,,,126599502,2531.99004
